日期,文件名,题目名称,算法类型,错误分类,具体错误,复习状态
2026-07-23,第k个最大元素快速排序版.kt,k个最大元素(快选),快速选择,语法-冗余,"return when { ... return } 双层 return",未复习
2026-07-23,第k个最大元素快速排序版.kt,k个最大元素(快选),快速选择,语法-命名,"partition 与 Kotlin 标准库扩展函数撞名，改为 doPartition",未复习
2026-07-23,第k个最大元素快速排序版.kt,k个最大元素(快选),快速选择,语法-无用导入,"import Solution3 未被使用",未复习
2026-07-23,最大字数组的和.kt,最大子数组和,DP,类型-初始化,"var maxSum = null 导致 maxOf 无法编译，应为 Int.MIN_VALUE",未复习
2026-07-23,最大字数组的和.kt,最大子数组和,DP,语法-返回,"O3 函数缺少 return 语句",未复习
2026-07-23,最大字数组的和.kt,最大子数组和,DP,逻辑-变量混淆,"O2 中 maxSum+=nums[i]，把裁判当选手——应 sum+=nums[j]",未复习
2026-07-23,最大字数组的和.kt,最大子数组和,DP,语法-拼写,"maxof 拼写错误，应为 maxOf（大写O）",未复习
2026-07-23,最大字数组的和.kt,最大子数组和,DP,逻辑-递推公式,"dp[i]=maxOf(dp[i]+nums[i]..) 用了自己而非 dp[i-1]，递推断裂",未复习
2026-07-23,最大字数组的和.kt,最大子数组和,DP,逻辑-返回值,"返回 dp[nums.size-1] 只是末尾局部最优，非全局最大",未复习
2026-07-23,最大字数组的和.kt,最大子数组和,DP,逻辑-初始化,"maxSum=0 导致全负数数组返回 0，应初始化为 dp[0] 或 nums[0]",未复习
2026-07-23,最大字数组的和.kt,最大子数组和(分治),分治,逻辑-变量混淆,"横跨扫描时 crossMax 既当累加和又当最大值，需分 sum 和 leftMax/rightMax",未复习
2026-07-23,最大字数组的和.kt,最大子数组和(分治),分治,逻辑-变量混淆,"左右扫描结果混入同一个变量 crossMax，应分开 leftMax+rightMax 再求和",未复习
2026-07-23,最大字数组的和.kt,最大子数组和(分治),分治,逻辑-边界,"dfs(nums,left,mid-1) 排除 mid 导致 left>right 触发越界 base case",未复习
2026-07-23,最大字数组的和.kt,最大子数组和(分治),分治,语法-拼写,"参数名 riht 拼写错误，应为 right",未复习
2026-07-24,最大子数组和.kt,最大子数组和,DP,语法-结构,"类 Solution 缺少闭合花括号，导致 main 函数被误认为类成员",未复习
2026-07-24,最大子数组和(分治).kt,最大子数组和(分治),分治,逻辑-边界,"dfs(nums,0,mid) 应传 left 非 0——上次失误#3重犯",未复习
2026-07-24,最大子数组和(分治).kt,最大子数组和(分治),分治,语法-冗余,"var _leftMax/_rightMax 未重新赋值应改为 val",未复习
2026-07-24,最大子数组和(分治).kt,最大子数组和(分治),分治,语法-冗余,"var _crossMax=0 初始化冗余，36行已覆盖",未复习
